time_id;nome_time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;total;rodadas
7065998;ROLF - SP23;72,41;72,60;69,44;75,68;85,90;83,40;91,97;67,85;75,36;62,48;61,11;85,50;93,14;84,55;62,77;56,48;70,00;97,10;103,68;106,31;80,45;57,40;45,05;93,50;93,70;1947,83;25
51059653;Rua Alba FS;55,95;85,50;67,90;67,90;35,40;46,45;29,20;35,85;30,95;21,40;34,50;33,50;63,05;44,80;40,60;26,55;27,85;16,90;6,60;12,60;9,30;38,45;29,45;60,60;24,50;945,75;25
48497302;sapo59@;48,59;77,60;77,60;22,70;38,20;50,71;53,47;60,85;64,50;49,57;62,23;32,35;40,36;81,03;37,35;58,40;22,35;97,30;64,16;104,06;63,50;50,70;57,86;103,20;77,50;1496,14;25
499851;Sc Vai segurando -0.23 tradição malandro;65,65;25,76;74,20;46,45;43,01;40,40;68,52;22,41;60,88;50,40;54,83;75,85;76,44;37,95;50,58;52,09;58,96;50,58;72,50;27,11;58,40;41,84;44,66;71,40;31,05;1301,92;25
67773;Só de boa FC;76,16;98,78;89,66;90,55;96,52;69,42;80,87;76,45;97,78;60,59;84,56;51,28;112,84;47,88;62,05;68,38;65,62;122,65;125,58;111,01;75,41;77,41;45,35;114,27;102,53;2103,60;25
3507811;Sport Club Pé Torto;58,00;77,50;79,66;59,30;98,31;70,91;68,71;64,00;81,75;55,65;99,56;77,70;120,74;42,53;61,20;62,80;102,45;99,45;114,88;105,21;85,20;75,36;68,85;109,78;60,07;1999,57;25
50270999;Suely68;82,35;84,14;65,59;54,34;79,14;54,16;71,48;62,96;89,39;41,00;65,60;71,38;42,04;82,73;64,64;79,74;77,45;106,80;104,37;80,01;70,71;82,11;63,05;102,87;93,03;1871,08;25
302297;Timão RIVA UFC;41,71;71,10;94,74;69,63;23,35;44,64;59,37;84,95;76,03;53,65;72,21;73,80;78,74;54,54;65,40;89,14;69,62;90,60;137,88;94,51;73,15;60,65;59,35;108,70;97,63;1845,09;25
698601;Tuliooo Futebol Clube.....;61,46;104,78;93,16;76,75;101,62;67,51;65,27;72,45;93,16;69,37;86,36;87,10;113,79;66,65;39,23;91,29;64,42;144,40;125,38;109,51;95,73;83,31;70,05;130,07;112,03;2224,85;25
18600106;Um time que não tem nome F.c.;56,16;71,98;83,76;36,36;71,21;57,69;45,07;95,94;72,59;38,55;56,16;42,10;106,14;37,05;69,00;55,66;67,70;119,55;134,98;95,22;97,89;77,66;87,85;107,27;54,85;1838,39;25
27705915;Vicentis.Vangogh FC;58,56;88,18;100,56;87,35;97,52;61,11;58,66;79,25;66,50;47,99;90,06;70,80;111,44;55,33;60,13;68,63;71,42;111,55;134,78;116,11;91,90;85,46;62,05;123,67;101,89;2100,90;25
29995515;Vila Campestre 1987;47,00;37,55;20,05;1,00;37,92;55,17;72,07;47,75;80,75;34,23;66,39;58,32;47,61;40,01;43,90;25,74;73,11;31,38;44,28;13,98;46,54;62,75;48,90;28,32;35,74;1100,46;25
806949;Vila Clara City R11;43,50;70,20;73,74;42,55;85,02;64,25;74,27;80,45;97,28;39,67;86,41;62,65;87,79;69,34;51,20;78,28;70,52;100,90;105,84;93,71;73,21;80,76;49,65;121,50;100,93;1903,62;25
1975;Vipper Team;86,05;96,38;73,76;65,88;90,12;70,06;67,47;73,35;83,46;55,29;92,66;85,00;100,69;56,24;52,80;59,65;75,22;128,85;98,88;114,71;87,65;86,41;61,77;126,17;90,28;2078,80;25
44815245;We have Mundial ;82,86;64,97;59,45;64,58;94,80;59,09;68,37;67,85;67,51;64,55;84,86;72,30;119,09;65,64;70,08;85,48;65,82;102,35;113,18;112,25;94,13;74,46;60,01;111,72;80,84;2006,24;25
2238;Wife's Team;52,45;69,23;75,66;70,45;87,69;55,01;57,67;73,84;83,33;56,08;89,06;87,39;110,94;70,13;49,25;74,68;85,52;109,85;141,38;113,31;94,75;91,16;72,77;118,97;99,38;2089,95;25
27264592;zeca do gueto;78,56;81,70;78,86;60,30;81,92;69,56;52,17;57,45;105,14;44,57;108,76;72,88;112,54;69,45;37,53;73,74;78,17;119,45;109,18;111,41;82,68;77,01;94,74;110,17;91,99;2059,93;25
29279489;ZekaLhp FC;71,66;58,08;93,36;50,85;79,72;75,01;71,67;82,95;77,64;57,87;101,31;78,25;66,16;51,14;68,80;85,88;78,72;108,55;109,08;107,11;73,65;81,46;87,75;106,72;76,78;2000,17;25
2978538;Ziquiriguidum FC;74,90;78,60;107,26;80,95;99,87;74,81;90,21;74,10;62,18;50,69;69,79;76,95;98,09;68,85;61,25;71,60;83,32;97,79;126,68;124,81;70,71;78,01;74,25;125,97;80,17;2101,81;25
