rodada;atleta_id;apelido;posicao;clube;escalacoes;pontos
24;68685;Alan Patrick;MEI;INT;6;1,70
24;72018;Tiago Volpi;GOL;RBB;6;7,60
24;37715;Thiago Silva;ZAG;FLU;6;4,30
24;96610;Matheus Pereira;MEI;CRU;6;10,00
24;80287;Luciano;ATA;SAO;6;6,40
24;87863;Arrascaeta;MEI;FLA;5;7,80
24;83257;Gabriel;ATA;SAN;4;0,80
24;115479;Paulo Pezzolano;TEC;INT;4;6,13
24;116447;Hércules;MEI;FLU;4;-0,20
24;62977;Ganso;MEI;FLU;4;7,30
24;97653;Murilo;ZAG;PAL;4;5,00
24;78248;Gustavo Henrique;ZAG;COR;4;1,70
24;110750;Gustavo Marques;ZAG;RBB;3;13,50
24;106708;Igor Formiga;LAT;MIR;3;8,80
24;72493;Alex Telles;LAT;BOT;3;0,00
24;39850;Vagner Mancini;TEC;RBB;3;7,07
24;101727;Matheuzinho;LAT;COR;3;0,00
24;98517;Jean Lucas;MEI;BAH;2;10,00
24;111690;Matheus Cunha;GOL;INT;2;10,20
24;107989;Carbonero;ATA;INT;2;0,70
24;82775;Lucas Ramon;LAT;SAO;2;1,80
24;104118;Lucas Arcanjo;GOL;VIT;2;4,50
24;89840;Calleri;ATA;SAO;2;0,50
24;102130;Piquerez;LAT;PAL;2;0,00
24;89274;Andreas Pereira;MEI;PAL;2;6,40
24;106313;Domingos Duarte;ZAG;SAO;2;1,70
24;104027;Rafael Guanaes;TEC;MIR;2;3,89
24;141451;Allan;MEI;PAL;2;10,40
24;103056;Gabriel Brazão;GOL;SAN;2;1,60
24;117910;Breno Bidon;MEI;COR;2;2,20
24;84339;Bruno Melo;LAT;CFC;2;2,20
24;40990;Dorival Júnior;TEC;SAO;2;2,74
24;100652;Yuri Alberto;ATA;COR;2;0,00
24;113034;Freytes;ZAG;FLU;2;0,00
24;145404;Arthur;LAT;PAL;2;3,40
24;104075;Sabino;ZAG;SAO;1;1,40
24;98873;Samuel Lino;ATA;FLA;1;4,50
24;97878;Jacy;ZAG;CFC;1;5,70
24;105436;Carrascal;MEI;FLA;1;5,90
24;42411;Cuca;TEC;SAN;1;8,43
24;95799;Artur;ATA;SAO;1;2,90
24;106202;Bruno Gomes;MEI;INT;1;7,90
24;87258;Soteldo;ATA;FLU;1;7,50
24;109573;Martinelli;MEI;FLU;1;6,30
24;130209;Renê;ATA;VIT;1;4,80
24;84626;Josué;MEI;CFC;1;2,70
24;104783;Acevedo;MEI;BAH;1;5,40
24;72605;Vitor Hugo;ZAG;CAM;1;6,20
24;99552;Rossi;GOL;FLA;1;3,20
24;88393;Ayrton Lucas;LAT;FLA;1;4,60
24;122318;Dyogo Alves;GOL;FLA;1;0,00
24;111466;Victor Gabriel;ZAG;INT;1;0,00
24;71123;Thiago Mendes;MEI;VAS;1;3,20
24;68872;Marcelo Lomba;GOL;PAL;1;0,00
24;128177;Pedro Emanuel;TEC;VAS;1;4,40
24;133543;Gui Negão;ATA;COR;1;-0,30
24;97095;Carlos Cuesta;ZAG;VAS;1;-1,30
24;91573;Arboleda;ZAG;SAO;1;0,00
24;105584;Lucas Piton;LAT;VAS;1;0,00
24;112886;Lucas Barbosa;ATA;RBB;1;2,70
24;51413;Walter;GOL;MIR;1;6,50
24;132580;Vinicinho;ATA;RBB;1;4,30
24;126977;Fernando Seabra;TEC;CFC;1;7,71
24;101908;Willian Machado;ZAG;MIR;1;4,50
24;132071;Serna;ATA;FLU;1;8,10
24;95556;Raniele;MEI;COR;1;9,80
24;82628;Tinga;LAT;CFC;1;0,00
24;68708;Eduardo;MEI;MIR;1;11,00
24;100987;Nonato;MEI;FLU;1;0,20
24;99889;Alan Franco;ZAG;OUT;1;0,00
24;98280;Bastos;ZAG;OUT;1;0,00
24;117632;Garro;MEI;COR;1;0,00
24;42500;Fagner;LAT;CRU;1;7,40
24;112863;Ramón Sosa;ATA;PAL;1;0,00
24;72391;Fernando Diniz;TEC;COR;1;4,24
24;105647;Maurício;MEI;PAL;1;9,30
24;98672;Savarino;MEI;FLU;1;0,00
24;100848;Luan Cândido;LAT;VIT;1;1,10
24;105563;Carlos Vinícius;ATA;GRE;1;0,00
24;118844;Kaio César;ATA;COR;1;3,80
24;131832;Portilla;MEI;CAP;1;0,00
24;68928;Rafael;GOL;SAO;1;2,90
24;107093;Luciano Juba;LAT;BAH;1;12,40
