time_id;nome_time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24
14994410;Estat_FC;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Eduardo Sasha|2,10;Calleri|12,10;Flaco López|12,70;Willian José|5,20;Andrés Gómez|8,30;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Flaco López|3,80;Viveros|21,10;Kaio Jorge|13,00;Flaco López|4,40;Neymar|3,90;Pedro|2,10;Viveros|10,90;Pedro|18,80;Viveros|19,20;Pedro|1,90;Carlos Vinícius|7,90;Viveros|7,40;Neymar|0,00
25279461;Estopim;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Kaio Jorge|1,40;Calleri|12,10;Calleri|8,80;Pedro|0,00;Lucas Barbosa|15,20;Kaio Jorge|8,80;Pedro|9,00;Samuel Lino|14,00;Flaco López|3,80;Viveros|21,10;Viveros|1,60;Flaco López|4,40;Pedro|8,80;Kaio Jorge|9,70;Samuel Lino|26,00;Pedro|18,80;Gabriel|2,00;Hulk|3,20;Kaio Jorge|8,50;Viveros|7,40;Canobbio|3,90
796608;FAMÍLIA SAÚDE FC;Borré|2,40;Flaco López|4,90;Negueba|13,50;Alef Manga|10,10;Hulk|8,20;Renato Kayzer|6,90;Flaco López|5,60;Vitinho|7,30;Kaio Jorge|8,80;Samuel Lino|2,50;Viveros|11,40;Calleri|7,00;Matheus Martins|7,00;Matheus Martins|6,50;Andrés Gómez|2,90;Cuello|6,00;Luciano|7,00;Viveros|10,90;Luciano|3,70;Viveros|19,20;Samuel Lino|10,20;Samuel Lino|7,40;Viveros|7,40;Hulk|14,80
13910119;Febre do Porco;Lucas Ronier|5,00;Kaio Jorge|4,90;Hulk|14,70;Carlos Vinícius|0,20;Carlos Vinícius|12,70;Carlos Vinícius|0,80;Pedro|0,00;Vitor Roque|3,00;Neymar|7,80;Carlos Vinícius|2,80;Kaio Jorge|0,00;Arrascaeta|13,00;Canobbio|10,40;Arias|5,80;Flaco López|4,40;Neymar|3,90;Kaio Jorge|9,70;Pedro|20,40;Pedro|18,80;Bruno Henrique|3,20;Hulk|3,20;Arrascaeta|6,40;Viveros|7,40;Flaco López|3,00
29005848;fiel Mikimba fc;Alef Manga|0,90;Kaio Jorge|4,90;Kaio Jorge|9,20;Carlos Vinícius|0,20;Willian José|2,70;Flaco López|12,70;Flaco López|5,60;Carlos Vinícius|9,70;Carlos Vinícius|11,00;Lucas Ronier|5,00;Lucas Ronier|2,80;Flaco López|3,80;Canobbio|10,40;Canobbio|1,20;Alesson|3,50;Arias|11,50;Matheus Pereira|8,10;Viveros|10,90;Kaio Jorge|10,90;Samuel Lino|8,90;Yuri Alberto|3,50;Pedro|-0,30;Pedro|20,20;Neymar|0,00
26507394;GARCIA_SCCP_1910;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Breno Lopes|2,50;Calleri|12,10;Flaco López|12,70;Cristian Olivera|8,40;Canobbio|5,90;Neymar|7,80;Pedro|9,00;Viveros|11,40;Isidro Pitta|18,00;Viveros|21,10;Matheus Martins|6,50;Flaco López|4,40;Neymar|3,90;Pedro|2,10;Pedro|20,40;Pedro|18,80;Neymar|22,80;Pedro|1,90;Breno Lopes|3,70;Viveros|7,40;Neymar|0,00
47656429;JOJOBA1976 ;Carbonero|0,50;Kaio Jorge|4,90;Hulk|14,70;Kaio Jorge|1,40;Calleri|12,10;Flaco López|12,70;Pedro|0,00;Pedro|6,10;Hulk|7,00;Pedro|9,00;Gabriel Taliari|2,90;Lucas Ronier|4,90;Pedro|15,60;Calleri|6,00;Lucas Ronier|4,60;Pedro|8,80;Kaio Jorge|9,70;Pedro|20,40;Pedro|18,80;Neymar|22,80;Pedro|1,90;Flaco López|0,50;Andrés Gómez|2,90;Flaco López|3,00
3167098;JUVENIL 15;Alan Patrick|3,00;Lucas Barbosa|3,30;Viveros|12,80;Lucas Barbosa|7,40;Carlos Vinícius|12,70;Lucho Acosta|6,30;Arrascaeta|8,00;Lucho Acosta|3,50;Kaio Jorge|8,80;Carlos Vinícius|2,80;Kaio Jorge|0,00;Flaco López|3,80;Viveros|21,10;Pedro|11,80;Andrés Gómez|2,90;Neymar|3,90;Kaio Jorge|9,70;Allan|-2,10;Samuel Lino|11,60;Samuel Lino|8,90;Hulk|3,20;Breno Lopes|3,70;Carbonero|12,00;Flaco López|3,00
44775176;LeomachadoSC;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Carlos Vinícius|0,20;Luciano|9,80;Lucas Ronier|3,70;Pedro|0,00;Canobbio|5,90;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Pedro|7,90;Viveros|21,10;Pedro|11,80;Flaco López|4,40;Neymar|3,90;Pedro|2,10;Pedro|20,40;Pedro|18,80;Neymar|22,80;Kaio César|2,80;Breno Lopes|3,70;Viveros|7,40;Vitor Roque|4,30
2159340;LOUCOS POR PINGA F.C;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Kaio Jorge|1,40;Willian José|2,70;Canobbio|10,40;Pedro|0,00;Andrés Gómez|8,30;Neymar|7,80;Carlos Vinícius|2,80;Arthur Cabral|11,70;Pedro|7,90;Canobbio|10,40;Viveros|1,60;Flaco López|4,40;Flaco López|5,90;Andrés Gómez|2,00;Pedro|20,40;Pedro|18,80;Viveros|19,20;Yuri Alberto|3,50;Samuel Lino|7,40;Viveros|7,40;Canobbio|3,90
9391447;mansaoDosBons;Borré|2,40;Arthur Cabral|8,90;Carlos Vinícius|0,70;Viveros|4,80;Calleri|12,10;Flaco López|12,70;Flaco López|5,60;Andrés Gómez|8,30;Arias|4,70;Cuello|4,70;John Kennedy|2,00;Pedro|7,90;Canobbio|10,40;Flaco López|7,80;Flaco López|4,40;Neymar|3,90;John Kennedy|3,00;John Kennedy|10,00;Kaio Jorge|10,90;Gabriel|2,00;Hulk|3,20;Samuel Lino|7,40;Samuel Lino|11,90;Flaco López|3,00
13955378;Masayuki Tateoka FC;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Carlos Vinícius|0,20;Calleri|12,10;Flaco López|12,70;Arrascaeta|8,00;Canobbio|5,90;Neymar|7,80;Pedro|9,00;Viveros|11,40;Pedro|7,90;Calleri|2,70;Flaco López|7,80;Pedro|0,40;Cuello|6,00;Kaio Jorge|9,70;Viveros|10,90;Pedro|18,80;Gabriel|2,00;Canobbio|4,90;Pedro|-0,30;Viveros|7,40;Neymar|0,00
51044905;Mik@ Pedroso fc;Borré|2,40;Flaco López|4,90;Hulk|14,70;Borré|2,90;Luciano|9,80;Lucas Ronier|3,70;Pedro|0,00;Pedro|6,10;Neymar|7,80;Pedro|9,00;Viveros|11,40;Pedro|7,90;Viveros|21,10;Pedro|11,80;Flaco López|4,40;Pedro|8,80;Pedro|2,10;Pedro|20,40;Pedro|18,80;Gabriel|2,00;Pedro|1,90;Kaio Jorge|8,50;Viveros|7,40;Pedro|12,00
8627629;mika Do pedroso fc;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Hulk|5,30;Calleri|12,10;Bolasie|0,90;Pedro|0,00;Andrés Gómez|8,30;Neymar|7,80;Carlos Vinícius|2,80;Everaldo|2,40;Flaco López|3,80;Canobbio|10,40;Danilo|5,30;Pedro|0,40;Neymar|3,90;Pedro|2,10;Gabriel|6,00;Luciano|3,70;Neymar|22,80;Kaio César|2,80;Arias|7,70;Bernabei|3,20;Hulk|14,80
25276259;mikatuba fc;Renato Kayzer|10,40;Kaio Jorge|4,90;Hulk|14,70;Carlos Vinícius|0,20;Calleri|12,10;Flaco López|12,70;Samuel Lino|10,40;Canobbio|5,90;Samuel Lino|1,00;Carlos Vinícius|2,80;Viveros|11,40;Matheus Pereira|9,60;Savarino|13,10;Lucas Barbosa|13,00;Pedro|0,40;Lucho Acosta|5,50;Luciano|7,00;Viveros|10,90;Samuel Lino|11,60;Gabriel|2,00;Pedro|1,90;Kaio Jorge|8,50;Samuel Lino|11,90;Hulk|14,80
