"time_id";"nome_time";"R1";"R2";"R3";"R4";"R5";"R6";"R7";"R8";"R9";"R10";"R11";"R12";"R13";"R14";"R15";"R16";"R17";"R18";"R19";"R20";"R21"
"25276259";"mikatuba fc";"Renato Kayzer|10.4";"Kaio Jorge|4.9";"Hulk|14.7";"Carlos Vinícius|0.2";"Calleri|12.1";"Flaco López|12.7";"Samuel Lino|10.4";"Canobbio|5.9";"Samuel Lino|1";"Carlos Vinícius|2.8";"Viveros|11.4";"Matheus Pereira|9.6";"Savarino|13.1";"Lucas Barbosa|13";"Pedro|0.4";"Lucho Acosta|5.5";"Luciano|7";"Viveros|10.9";"Samuel Lino|11.6";"Gabriel|2";"Pedro|1.9"
"2529723";"Monster Fut F.C";"Serna|0.5";"Kaio Jorge|4.9";"Hulk|14.7";"Lucas Ronier|11.4";"Luciano|9.8";"Flaco López|12.7";"Lucas Ronier|2";"Andrés Gómez|8.3";"Flaco López|3.5";"Carlos Vinícius|2.8";"Viveros|11.4";"Flaco López|3.8";"Canobbio|10.4";"Pedro|11.8";"Flaco López|4.4";"Neymar|3.9";"Kaio Jorge|9.7";"Paulinho|8";"Paulinho|0";"Viveros|19.2";"Yuri Alberto|3.5"
"18988681";"MOUSE FUTEBOL E CATCHUP";"Alan Patrick|3";"Kaio Jorge|4.9";"Vitor Roque|14";"Matheus Pereira|11.1";"Lucas Ramon|11.2";"Canobbio|10.4";"Pedro|0";"Lucho Acosta|3.5";"Flaco López|3.5";"Pedro|9";"Viveros|11.4";"Andrés Gómez|16.9";"Pedro|15.6";"Flaco López|7.8";"Neymar|10.5";"Neymar|3.9";"Kaio Jorge|9.7";"Viveros|10.9";"Pedro|18.8";"Neymar|22.8";"Yuri Alberto|3.5"
"7939743";"Oozma Kappa Ror FC";"Lucas Ronier|5";"Kaio Jorge|4.9";"Hulk|14.7";"Eduardo Sasha|2.1";"Canobbio|14.2";"Flaco López|12.7";"Pedro|0";"Andrés Gómez|8.3";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Pedro|11.8";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Gabriel|2";"Yuri Alberto|3.5"
"50263746";"Os Cozidos Do Jabuca Tradicao Cartoleiro";"Alef Manga|0.9";"Kaio Jorge|4.9";"Yuri Alberto|3";"Yuri Alberto|0";"Memphis Depay|-0.1";"Arias|6.4";"Yuri Alberto|1.2";"Yuri Alberto|10.9";"Kaio Jorge|8.8";"Carlos Vinícius|2.8";"Kayke|4.4";"Arias|1.2";"Carlos Vinícius|1.4";"Danilo|5.3";"Danilo|2";"Neymar|3.9";"Matheus Pereira|8.1";"Pedro|20.4";"Yuri Alberto|19.9";"Pedro|1.7";"Pedro|1.9"
"22247745";"ParmeirinhaFCBr";"Renato Kayzer|10.4";"Flaco López|4.9";"Yuri Alberto|3";"Flaco López|1.6";"Luciano|9.8";"Canobbio|10.4";"Arrascaeta|8";"Arias|9";"Kaio Jorge|8.8";"Flaco López|6.4";"Lucas Ronier|2.8";"Isidro Pitta|18";"Arias|5.5";"Arthur Cabral|2.4";"Pedro|0.4";"Viveros|9.1";"Flaco López|11.3";"Samuel Lino|26";"Samuel Lino|11.6";"Pedro|1.7";"Flaco López|2.2"
"29031465";"PegaessepasseF.C.";"John Kennedy|1.6";"Kaio Jorge|4.9";"Hulk|14.7";"Kaio Jorge|1.4";"Erick Pulga|1.5";"Canobbio|10.4";"Neymar|9.4";"Andrés Gómez|8.3";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Pedro|11.8";"Andrés Gómez|2.9";"Neymar|3.9";"Pedro|2.1";"Viveros|10.9";"Yuri Alberto|19.9";"Viveros|19.2";"Edson Carioca|3.3"
"2864056";"PegCa";"Canobbio|5.7";"Kaio Jorge|4.9";"Hulk|14.7";"Kaio Jorge|1.4";"Calleri|12.1";"Carlos Vinícius|0.8";"Pedro|0";"Andrés Gómez|8.3";"Kaio Jorge|8.8";"Pedro|9";"Viveros|11.4";"Flaco López|3.8";"Canobbio|10.4";"Pedro|11.8";"Flaco López|4.4";"Flaco López|5.9";"Kaio Jorge|9.7";"Pedro|20.4";"Pedro|18.8";"Rollheiser|1";"Pedro|1.9"
"28045697";"Pelé é gol de videogame ";"Nonato|6.4";"Nonato|4.2";"Nonato|0";"Nonato|0";"Nonato|0";"Nonato|0";"Nonato|0";"Nonato|0";"Nonato|0";"Nonato|0";"Nonato|0";"Nonato|0";"Nonato|0";"Nonato|0";"Nonato|5.5";"Nonato|0.7";"Nonato|-0.1";"Nonato|0";"Nonato|0";"Nonato|1.2";"Nonato|2.7"
"336993";"PUROMALTISS F.S";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Alef Manga|10.1";"Hulk|8.2";"Pedro|11.8";"Flaco López|5.6";"Alan Patrick|12.5";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Matheus Martins|6.5";"John Kennedy|18";"Neymar|3.9";"Kaio Jorge|9.7";"Viveros|10.9";"Pedro|18.8";"Gabriel|2";"Kaio César|2.8"
"25311310";"Real Memphis SCCP";"Yuri Alberto|0.7";"Flaco López|4.9";"Hulk|14.7";"Flaco López|1.6";"Borré|1.4";"Memphis Depay|9.3";"Neymar|9.4";"Yuri Alberto|10.9";"Flaco López|3.5";"Hulk|1.2";"Hulk|1";"Kaio Jorge|2.1";"Kaio Jorge|-0.3";"Kaio Jorge|13";"Yuri Alberto|6.5";"Carbonero|24.9";"Carbonero|0";"Carbonero|1.9";"Carbonero|10.8";"Viveros|19.2";"Hulk|3.2"
"28029518";"Roberta Inocêncio F. C.";"Lucas Ronier|5";"Kaio Jorge|4.9";"Hulk|14.7";"Carlos Vinícius|0.2";"Luciano|9.8";"Flaco López|12.7";"Flaco López|5.6";"Pedro|6.1";"Kaio Jorge|8.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Flaco López|3.8";"Canobbio|10.4";"Arthur Cabral|2.4";"Flaco López|4.4";"Canobbio|15.9";"Kaio Jorge|9.7";"Pedro|20.4";"Pedro|18.8";"Gabriel|2";"Yuri Alberto|3.5"
"3371353";"robson gigante da colina.fc";"Canobbio|5.7";"Kaio Jorge|4.9";"Viveros|12.8";"Vitor Roque|21.2";"Calleri|12.1";"Lucas Ronier|3.7";"Pedro|0";"Pedro|6.1";"Kaio Jorge|8.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Kaio Jorge|13";"Carlos Eduardo|1.9";"Pedro|8.8";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Viveros|19.2";"Breno Lopes|2.3"
"7065998";"ROLF - SP23";"Hulk|5.3";"Kaio Jorge|4.9";"Hulk|14.7";"Neymar|19.2";"Calleri|12.1";"Flaco López|12.7";"Flaco López|5.6";"Pedro|6.1";"Hulk|7";"Amuzu|10.6";"Artur|5.5";"Arthur Cabral|2.1";"Flaco López|9.5";"Pedro|11.8";"Neymar|10.5";"Flaco López|5.9";"Viveros|17.4";"Viveros|10.9";"Pedro|18.8";"Gabriel|2";"Yuri Alberto|3.5"
"51059653";"Rua Alba FS";"Yuri Alberto|0.7";"Kaio Jorge|4.9";"Hulk|14.7";"Flaco López|1.6";"Flaco López|8";"Flaco López|12.7";"Flaco López|5.6";"Flaco López|6.5";"Flaco López|3.5";"Flaco López|6.4";"Flaco López|7.4";"Flaco López|3.8";"Flaco López|9.5";"Flaco López|7.8";"Flaco López|4.4";"Flaco López|5.9";"Flaco López|11.3";"Flaco López|0";"Flaco López|0";"Flaco López|0";"Flaco López|2.2"
"48497302";"sapo59@";"Artur|8";"Kaio Jorge|4.9";"Hulk|14.7";"Hulk|5.3";"Hulk|8.2";"Neymar|3.7";"Neymar|9.4";"Calleri|1.9";"Calleri|11.5";"Carlos Vinícius|2.8";"Neymar|5.3";"Arias|1.2";"Arias|5.5";"Pedro|11.8";"Pedro|0.4";"Artur|6.9";"Artur|4.7";"Pedro|20.4";"Pedro|18.8";"Lucas Barbosa|3.5";"Yuri Alberto|3.5"
"499851";"Sc Vai segurando -0.23 tradição malandro";"Pedro|6.4";"Pedro|0.2";"Hulk|14.7";"João Pedro|2.2";"André|3.1";"André|2.2";"Carbonero|8.3";"Carbonero|1.4";"Carbonero|1.5";"Enamorado|3.5";"Enamorado|5.9";"Flaco López|3.8";"Flaco López|9.5";"Flaco López|7.8";"Flaco López|4.4";"Flaco López|5.9";"Flaco López|11.3";"Flaco López|0";"Flaco López|0";"Flaco López|0";"Flaco López|2.2"
"67773";"Só de boa FC";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Vitor Roque|21.2";"Calleri|12.1";"Flaco López|12.7";"Viveros|11.2";"Pedro|6.1";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Flaco López|3.8";"Canobbio|10.4";"Arthur Cabral|2.4";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Neymar|22.8";"Pedro|1.9"
"3507811";"Sport Club Pé Torto";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Alef Manga|10.1";"Calleri|12.1";"Flaco López|12.7";"Arrascaeta|8";"Andrés Gómez|8.3";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Viveros|1.6";"Neymar|10.5";"John Kennedy|10";"Matheus Bidu|8.5";"Pedro|20.4";"Pedro|18.8";"Neymar|22.8";"Kaio César|2.8"
